Provinsi,Produksi Padi (Ton),Produksi Beras (Ton),Tahun,Produksi Padi (Ton)_Outlier,Produksi Beras (Ton)_Outlier
Aceh,1509456.46,869572.0,2022,False,False
Sumatera Utara,2088583.81,1198045.75,2022,False,False
Sumatera Barat,1373532.19,795306.36,2022,False,False
Riau,213557.23,122561.42,2022,False,False
Jambi,277743.83,160667.47,2022,False,False
Sumatera Selatan,2775069.26,1593597.7,2022,False,False
Bengkulu,281610.09,162197.49,2022,False,False
Lampung,2688159.74,1545296.21,2022,False,False
Kepulauan Bangka Belitung,61425.07,36408.55,2022,False,False
Kepulauan Riau,506.91,290.07,2022,False,False
DKI Jakarta,2337.77,1378.0,2022,False,False
Jawa Barat,9433723.09,5447806.31,2022,True,True
Jawa Tengah,9356445.49,5380509.51,2022,True,True
DI Yogyakarta,561699.53,319059.52,2022,False,False
Jawa Timur,9526515.67,5500801.88,2022,True,True
Banten,1788582.6,1018653.08,2022,False,False
Bali,680601.6,383829.16,2022,False,False
Nusa Tenggara Barat,1452945.47,827524.88,2022,False,False
Nusa Tenggara Timur,756049.91,442841.89,2022,False,False
Kalimantan Barat,731225.8,432586.93,2022,False,False
Kalimantan Tengah,343918.75,204291.82,2022,False,False
Kalimantan Selatan,819419.2,484832.09,2022,False,False
Kalimantan Timur,239425.34,139266.1,2022,False,False
Kalimantan Utara,30533.59,18101.49,2022,False,False
Sulawesi Utara,243730.28,136960.27,2022,False,False
Sulawesi Tengah,744408.7,439408.72,2022,False,False
Sulawesi Selatan,5360169.37,3075859.99,2022,True,True
Sulawesi Tenggara,478958.03,275055.53,2022,False,False
Gorontalo,240134.53,134082.02,2022,False,False
Sulawesi Barat,353513.29,203031.6,2022,False,False
Maluku,92601.06,51857.42,2022,False,False
Maluku Utara,24486.03,13702.55,2022,False,False
Papua Barat,23963.92,14398.76,2022,False,False
Papua Barat Daya,0.0,0.0,2022,False,False
Papua,193943.47,110739.23,2022,False,False
Papua Selatan,0.0,0.0,2022,False,False
Papua Tengah,0.0,0.0,2022,False,False
Papua Pegunungan,0.0,0.0,2022,False,False
Indonesia,54748977.08,31540521.77,2022,True,True
Aceh,1404234.82,808955.47,2023,False,False
Sumatera Utara,2087474.15,1197409.21,2023,False,False
Sumatera Barat,1482468.79,858383.18,2023,False,False
Riau,205972.55,118208.51,2023,False,False
Jambi,275941.45,159624.9,2023,False,False
Sumatera Selatan,2832773.92,1626734.93,2023,False,False
Bengkulu,286684.43,165120.08,2023,False,False
Lampung,2757898.19,1585385.58,2023,False,False
Kepulauan Bangka Belitung,66468.89,39398.13,2023,False,False
Kepulauan Riau,324.01,185.41,2023,False,False
DKI Jakarta,2674.28,1576.37,2023,False,False
Jawa Barat,9140039.2,5278209.2,2023,True,True
